IssueId,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved
266,Bug,Closed,Fixed,Test,Minor,Person 405,2005/05/10 00:36:31 +0100,2005/05/19 23:14:35 +0100,Person 383,2005/05/24 04:01:03 +0100
269,Improvement,Closed,Fixed,SQL,Major,Person 407,2005/05/12 03:51:04 +0100,2008/06/24 17:24:08 +0100,Person 380,2008/07/21 19:07:15 +0100
313,Bug,Closed,Fixed,Documentation,Minor,Person 405,2005/05/25 08:30:36 +0100,2005/05/26 12:37:22 +0100,Person 405,2005/06/02 05:26:30 +0100
318,Bug,Closed,Fixed,Network Server,Major,Person 472,2005/05/27 03:42:30 +0100,2005/06/11 01:37:35 +0100,Person 398,2005/06/11 01:37:35 +0100
322,Bug,Closed,Fixed,JDBC; Network Client,Major,Person 379,2005/05/29 00:03:39 +0100,null,Unassigned,2005/06/03 07:09:26 +0100
324,Bug,Closed,Fixed,Test,Minor,Person 408,2005/05/30 23:55:10 +0100,2005/06/02 22:42:35 +0100,Person 408,2006/05/13 22:35:23 +0100
330,Bug,Closed,Fixed,Build tools,Trivial,Person 384,2005/05/31 22:45:34 +0100,2005/09/01 22:39:16 +0100,Person 384,2006/04/11 02:47:02 +0100
339,Bug,Closed,Fixed,Network Client,Major,Person 393,2005/06/07 02:21:44 +0100,2005/06/07 02:21:44 +0100,Person 393,2005/06/09 16:19:12 +0100
348,Bug,Closed,Fixed,Demos/Scripts,Minor,Person 407,2005/06/11 06:35:12 +0100,2005/06/11 06:35:12 +0100,Person 409,2005/06/30 07:14:40 +0100
349,Bug,Closed,Fixed,Network Client; Network Server,Minor,Person 379,2005/06/12 00:44:49 +0100,2006/03/07 14:08:31 +0100,Person 410,2006/04/04 02:16:50 +0100
353,Bug,Closed,Fixed,SQL,Major,Person 411,2005/06/14 09:43:46 +0100,2005/09/14 13:14:38 +0100,Person 412,2006/08/10 14:43:12 +0100
361,Bug,Closed,Fixed,Store,Major,Person 387,2005/06/15 09:03:36 +0100,2005/06/16 01:14:35 +0100,Person 395,2005/06/29 10:39:02 +0100
375,Bug,Closed,Fixed,Network Server,Major,Person 472,2005/06/19 17:11:18 +0100,2005/10/12 08:15:11 +0100,Person 413,2005/10/21 10:02:55 +0100
385,Bug,Closed,Fixed,Network Server,Trivial,Person 383,2005/06/22 04:55:36 +0100,2005/07/01 15:07:32 +0100,Person 383,2005/10/06 08:07:30 +0100
