IssueId,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved
1308,Bug,Closed,Fixed,Test,Minor,Person 381,2006/05/10 05:22:07 +0100,2006/05/24 22:03:00 +0100,Person 383,2006/05/30 20:54:26 +0100
1313,Improvement,Closed,Fixed,JDBC,Major,Person 388,2006/05/10 21:30:20 +0100,2006/05/10 21:30:20 +0100,Person 388,2006/06/02 22:25:41 +0100
1314,Bug,Closed,Fixed,JDBC,Major,Person 394,2006/05/10 21:30:42 +0100,2006/06/06 17:51:04 +0100,Person 394,2006/06/23 20:23:22 +0100
1320,Bug,Closed,Fixed,Test,Minor,Person 381,2006/05/12 07:31:21 +0100,2006/07/24 23:58:02 +0100,Person 429,2006/08/08 05:25:03 +0100
1322,Bug,Closed,Fixed,JDBC; Network Client,Minor,Person 405,2006/05/12 21:06:07 +0100,2006/05/12 21:15:13 +0100,Person 388,2006/05/24 22:08:58 +0100
1324,Bug,Closed,Fixed,Tools,Major,Person 436,2006/05/13 00:19:10 +0100,2006/05/16 15:25:48 +0100,Person 385,2006/05/18 08:02:08 +0100
1325,Bug,Closed,Fixed,JDBC,Major,Person 413,2006/05/13 07:10:08 +0100,2006/05/13 07:10:08 +0100,Person 413,2006/05/26 03:29:12 +0100
1327,Bug,Closed,Fixed,SQL,Major,Person 393,2006/05/16 14:34:03 +0100,2006/06/08 23:47:32 +0100,Person 380,2006/06/14 04:26:11 +0100
1339,Improvement,Closed,Fixed,Localization,Minor,Person 435,2006/05/23 05:05:42 +0100,2006/05/27 18:08:09 +0100,Person 435,2006/05/28 06:06:13 +0100
1351,Bug,Closed,Fixed,Test,Minor,Person 415,2006/05/26 08:08:11 +0100,2006/06/29 19:56:50 +0100,Person 388,2006/09/19 21:05:32 +0100
1355,Bug,Closed,Fixed,Network Client,Major,Person 419,2006/05/27 20:06:14 +0100,2007/05/17 07:59:50 +0100,Person 420,2007/06/09 03:07:56 +0100
1362,Bug,Closed,Fixed,Build tools,Critical,Person 379,2006/06/01 06:41:46 +0100,2006/06/06 23:06:51 +0100,Person 418,2006/06/14 06:00:10 +0100
1367,Improvement,Closed,Fixed,SQL; Test,Minor,Person 393,2006/06/02 03:36:17 +0100,2006/07/30 01:28:38 +0100,Person 411,2006/08/01 00:22:59 +0100
1376,Improvement,Closed,Fixed,Localization,Minor,Person 435,2006/06/05 21:08:31 +0100,2006/06/05 21:08:31 +0100,Person 435,2006/06/11 11:25:17 +0100
1380,Bug,Closed,Fixed,JDBC,Critical,Person 384,2006/06/06 22:32:23 +0100,2006/06/06 22:32:23 +0100,Person 384,2006/07/12 00:06:02 +0100
1386,Bug,Closed,Fixed,SQL,Critical,Person 472,2006/06/08 03:05:58 +0100,2006/06/08 20:29:55 +0100,Person 394,2006/06/10 02:53:59 +0100
1416,Bug,Closed,Fixed,JDBC,Minor,Person 401,2006/06/15 07:52:56 +0100,2008/10/07 00:53:56 +0100,Person 383,2008/10/07 00:53:56 +0100
1431,Bug,Closed,Fixed,Demos/Scripts; Documentation,Trivial,Person 410,2006/06/20 22:51:38 +0100,2006/08/05 02:24:50 +0100,Person 385,2006/08/08 04:18:16 +0100
1436,Bug,Closed,Fixed,Demos/Scripts,Major,Person 425,2006/06/22 16:50:34 +0100,2006/06/26 16:17:55 +0100,Person 388,2006/06/26 23:27:38 +0100
1444,Bug,Closed,Fixed,Test,Minor,Person 437,2006/06/23 17:24:05 +0100,2006/06/23 17:24:05 +0100,Person 437,2006/06/29 18:32:48 +0100
1458,Improvement,Closed,Fixed,Build tools,Major,Person 401,2006/06/28 01:39:17 +0100,2008/10/14 23:17:27 +0100,Person 383,2008/10/19 02:13:03 +0100
1466,Improvement,Closed,Fixed,Network Server,Major,Person 393,2006/06/29 21:23:51 +0100,2006/06/29 21:23:51 +0100,Person 381,2006/07/17 21:02:17 +0100
1470,Bug,Closed,Fixed,Demos/Scripts,Minor,Person 378,2006/07/01 01:23:29 +0100,2006/07/01 01:23:29 +0100,Person 378,2006/08/10 09:11:32 +0100
1489,Improvement,Closed,Fixed,Documentation; SQL,Major,Person 410,2006/07/09 00:16:27 +0100,2006/07/09 00:16:27 +0100,Person 410,2006/10/06 00:15:56 +0100
1493,Bug,Closed,Fixed,JDBC,Major,Person 394,2006/07/10 15:51:47 +0100,2006/07/12 19:29:28 +0100,Person 412,2006/07/17 12:30:43 +0100
1496,Improvement,Closed,Fixed,Test,Minor,Person 381,2006/07/11 08:32:57 +0100,2006/07/12 00:22:44 +0100,Person 383,2007/05/08 19:40:47 +0100
1499,Bug,Closed,Fixed,Test,Major,Person 383,2006/07/12 03:04:30 +0100,2006/07/12 03:04:36 +0100,Person 383,2006/07/14 19:11:12 +0100
1510,Bug,Closed,Fixed,JDBC; SQL,Minor,Person 422,2006/07/14 17:29:01 +0100,2006/07/14 17:29:01 +0100,Person 422,2006/07/31 11:54:04 +0100
1521,Improvement,Closed,Fixed,Test,Major,Person 380,2006/07/17 18:04:41 +0100,2006/07/18 23:03:44 +0100,Person 413,2006/09/01 20:39:24 +0100
1527,Improvement,Closed,Fixed,JDBC,Minor,Person 394,2006/07/18 10:52:10 +0100,2006/07/18 20:22:49 +0100,Person 394,2006/07/20 13:05:09 +0100
1529,Bug,Closed,Fixed,Eclipse Plug-in,Major,Person 414,2006/07/18 18:03:58 +0100,2006/12/05 06:37:42 +0100,Person 415,2006/12/05 08:04:18 +0100
1538,Bug,Closed,Fixed,SQL,Major,Person 423,2006/07/19 18:47:17 +0100,2006/07/24 08:03:20 +0100,Person 411,2006/08/26 08:10:08 +0100
1539,Improvement,Closed,Fixed,SQL,Major,Person 380,2006/07/19 22:48:44 +0100,2006/07/19 22:48:44 +0100,Person 380,2006/08/30 07:24:37 +0100
1541,Bug,Closed,Fixed,Test,Minor,Person 379,2006/07/20 01:27:20 +0100,2006/07/26 17:19:30 +0100,Person 418,2007/05/15 22:13:51 +0100
1545,Bug,Closed,Fixed,Test,Major,Person 394,2006/07/20 13:30:55 +0100,2006/07/26 11:09:18 +0100,Person 406,2006/07/26 14:40:36 +0100
1546,Bug,Closed,Fixed,JDBC,Minor,Person 393,2006/07/20 13:56:24 +0100,2006/07/26 08:41:48 +0100,Person 394,2006/07/27 08:26:55 +0100
1558,Improvement,Closed,Fixed,Test,Minor,Person 406,2006/07/21 09:57:53 +0100,2006/08/17 00:57:47 +0100,Person 406,2006/08/22 12:44:07 +0100
1574,Bug,Closed,Fixed,SQL,Minor,Person 438,2006/07/23 02:01:09 +0100,2006/07/28 14:37:48 +0100,Person 405,2006/08/15 13:57:45 +0100
1588,Bug,Closed,Fixed,Demos/Scripts,Minor,Person 378,2006/07/25 17:46:33 +0100,2006/09/05 21:24:44 +0100,Person 439,2006/09/19 15:58:35 +0100
1595,Bug,Closed,Fixed,Network Server,Minor,Person 406,2006/07/26 15:21:47 +0100,2010/06/15 15:30:00 +0100,Person 422,2011/03/15 22:36:04 +0100
1597,Bug,Closed,Fixed,Demos/Scripts,Major,Person 378,2006/07/26 23:45:38 +0100,2006/07/26 23:45:38 +0100,Person 385,2006/08/11 06:27:36 +0100
1605,Bug,Closed,Fixed,Test,Trivial,Person 383,2006/07/28 11:28:21 +0100,2006/07/28 15:25:59 +0100,Person 383,2006/07/31 19:32:25 +0100
1606,Bug,Closed,Fixed,Test,Minor,Person 383,2006/07/28 12:56:14 +0100,2007/01/30 09:21:49 +0100,Person 383,2007/01/30 09:29:01 +0100
1607,Bug,Closed,Fixed,Test,Trivial,Person 383,2006/07/28 14:04:45 +0100,2006/07/28 14:04:45 +0100,Person 383,2006/07/31 22:01:49 +0100
1614,Bug,Closed,Fixed,Test,Major,Person 434,2006/07/31 13:46:25 +0100,2006/07/31 13:46:25 +0100,Person 434,2006/08/08 04:16:35 +0100
1616,Bug,Closed,Fixed,Test,Major,Person 381,2006/07/31 19:37:12 +0100,2006/08/02 00:57:30 +0100,Person 401,2006/08/02 17:30:15 +0100
1619,Bug,Closed,Fixed,Tools,Major,Person 415,2006/08/01 01:30:45 +0100,2006/08/01 01:46:32 +0100,Person 385,2006/08/02 04:04:33 +0100
1621,Bug,Closed,Fixed,SQL,Critical,Person 379,2006/08/01 17:21:20 +0100,2006/08/01 19:12:02 +0100,Person 423,2006/08/26 08:29:50 +0100
1630,Bug,Closed,Fixed,Network Client,Critical,Person 385,2006/08/02 02:54:31 +0100,2006/08/02 06:10:15 +0100,Person 385,2006/08/02 18:55:30 +0100
1643,Improvement,Closed,Fixed,SQL,Major,Person 380,2006/08/04 03:51:52 +0100,2006/08/04 03:51:52 +0100,Person 380,2006/08/30 07:29:01 +0100
1644,Bug,Closed,Fixed,SQL,Minor,Person 423,2006/08/04 07:33:48 +0100,2006/11/14 06:36:38 +0100,Person 410,2006/12/15 17:44:14 +0100
1661,Bug,Closed,Fixed,Store,Major,Person 381,2006/08/10 17:34:29 +0100,2006/08/10 17:34:29 +0100,Person 381,2006/08/11 00:38:56 +0100
1675,Improvement,Closed,Fixed,Network Server,Minor,Person 381,2006/08/11 19:27:02 +0100,2006/08/29 20:13:05 +0100,Person 381,2006/09/15 21:55:34 +0100
1681,Bug,Closed,Fixed,SQL,Major,Person 472,2006/08/11 23:03:12 +0100,2006/08/11 23:06:47 +0100,Person 472,2006/08/29 19:46:46 +0100
1688,Bug,Closed,Fixed,Network Server,Minor,Person 394,2006/08/14 13:41:48 +0100,2006/08/14 13:41:48 +0100,Person 394,2006/08/15 15:21:34 +0100
1691,Bug,Closed,Fixed,Test,Major,Person 415,2006/08/14 22:49:49 +0100,2006/09/11 09:15:08 +0100,Person 404,2006/09/11 13:45:19 +0100
1692,Bug,Closed,Fixed,Network Client,Major,Person 413,2006/08/15 00:21:29 +0100,2006/08/15 21:13:07 +0100,Person 394,2006/08/16 21:52:02 +0100
1694,Bug,Closed,Fixed,Test,Major,Person 379,2006/08/15 05:36:23 +0100,2006/09/19 04:08:10 +0100,Person 381,2006/09/22 18:10:35 +0100
1695,Bug,Closed,Fixed,Test,Minor,Person 393,2006/08/15 06:36:27 +0100,2006/08/24 06:55:16 +0100,Person 381,2006/08/29 17:32:42 +0100
1698,Improvement,Closed,Fixed,Test,Minor,Person 413,2006/08/15 20:17:45 +0100,2006/08/15 20:19:58 +0100,Person 413,2006/08/25 23:08:59 +0100
1709,Improvement,Closed,Fixed,Demos/Scripts,Major,Person 385,2006/08/17 06:52:58 +0100,2007/01/02 22:49:53 +0100,Person 385,2007/02/14 01:00:46 +0100
1714,Bug,Closed,Fixed,SQL,Minor,Person 440,2006/08/17 14:19:28 +0100,2006/08/18 20:14:47 +0100,Person 379,2006/08/21 02:13:16 +0100
1729,Bug,Closed,Fixed,SQL,Major,Person 423,2006/08/18 22:41:11 +0100,2006/09/04 08:49:57 +0100,Person 423,2006/09/18 17:51:31 +0100
1730,Bug,Closed,Fixed,Build tools,Major,Person 394,2006/08/19 18:40:54 +0100,2006/08/19 18:40:54 +0100,Person 394,2006/08/22 13:24:02 +0100
1732,Bug,Closed,Fixed,SQL; Store,Major,Person 379,2006/08/19 19:55:15 +0100,2006/12/14 02:31:22 +0100,Person 381,2006/12/14 02:31:44 +0100
1743,Bug,Closed,Fixed,Test,Major,Person 394,2006/08/22 06:29:19 +0100,2006/08/23 13:08:33 +0100,Person 394,2006/08/24 07:04:38 +0100
1749,Improvement,Closed,Fixed,SQL,Major,Person 441,2006/08/23 11:54:07 +0100,2007/11/16 15:12:29 +0100,Person 400,2007/11/16 15:19:37 +0100
1751,Bug,Closed,Fixed,Test,Minor,Person 434,2006/08/23 14:21:45 +0100,2006/09/19 09:40:55 +0100,Person 388,2006/09/25 14:06:26 +0100
1759,Bug,Closed,Fixed,SQL,Major,Person 472,2006/08/24 16:24:22 +0100,2006/09/08 01:50:37 +0100,Person 472,2006/09/09 23:02:47 +0100
1760,Bug,Closed,Fixed,Test,Minor,Person 383,2006/08/24 22:46:16 +0100,2006/08/24 22:46:16 +0100,Person 383,2007/01/29 08:05:59 +0100
1776,Bug,Closed,Fixed,SQL,Minor,Person 379,2006/08/29 15:18:30 +0100,2006/09/19 00:45:59 +0100,Person 472,2006/09/22 19:41:22 +0100
1787,Improvement,Closed,Fixed,SQL,Minor,Person 380,2006/08/31 00:05:00 +0100,2006/09/20 19:29:00 +0100,Person 380,2006/09/22 20:04:04 +0100
1811,Bug,Closed,Fixed,JDBC,Major,Person 379,2006/09/03 06:12:06 +0100,2006/09/03 06:12:06 +0100,Person 379,2007/05/23 02:14:40 +0100
1816,Bug,Closed,Fixed,JDBC; Network Client,Minor,Person 379,2006/09/06 14:31:08 +0100,2007/05/04 21:56:45 +0100,Person 472,2007/06/20 02:36:15 +0100
1828,Bug,Closed,Fixed,JDBC,Major,Person 379,2006/09/07 21:59:46 +0100,2007/04/16 13:38:05 +0100,Person 442,2007/05/14 15:12:24 +0100
1829,Bug,Closed,Fixed,Test,Major,Person 381,2006/09/08 00:27:59 +0100,2006/10/09 18:55:16 +0100,Person 383,2006/11/01 00:47:41 +0100
1832,Bug,Closed,Fixed,Test,Minor,Person 394,2006/09/08 08:30:45 +0100,2006/09/11 12:19:07 +0100,Person 394,2006/09/18 21:44:18 +0100
1834,Bug,Closed,Fixed,Documentation; SQL,Minor,Person 439,2006/09/08 22:58:01 +0100,2006/09/20 08:06:20 +0100,Unassigned,2006/09/22 18:40:16 +0100
1844,Bug,Closed,Fixed,Test,Major,Person 413,2006/09/13 00:18:55 +0100,2006/09/28 08:20:54 +0100,Person 383,2006/09/28 08:41:26 +0100
1846,Improvement,Closed,Fixed,Demos/Scripts,Major,Person 385,2006/09/13 20:25:53 +0100,2006/09/13 20:25:53 +0100,Person 385,2006/09/22 19:43:53 +0100
1849,Bug,Closed,Fixed,Test,Major,Person 415,2006/09/14 02:09:33 +0100,2006/11/18 04:19:03 +0100,Person 383,2006/11/18 04:33:04 +0100
1866,Bug,Closed,Fixed,SQL,Major,Person 472,2006/09/19 19:26:12 +0100,2006/09/19 19:26:12 +0100,Person 472,2006/10/02 17:08:20 +0100
1874,Bug,Closed,Fixed,Test,Minor,Person 428,2006/09/21 10:34:35 +0100,2006/09/21 14:00:37 +0100,Person 422,2007/05/25 19:55:36 +0100
1885,Bug,Closed,Fixed,Miscellaneous,Trivial,Person 436,2006/09/24 00:49:34 +0100,null,Unassigned,2008/11/17 22:23:47 +0100
1891,Bug,Closed,Fixed,Network Client,Minor,Person 383,2006/09/26 18:22:45 +0100,2006/09/26 18:22:45 +0100,Person 383,2006/09/28 06:58:30 +0100
1894,Bug,Closed,Fixed,SQL,Major,Person 423,2006/09/27 21:29:22 +0100,2006/09/27 23:21:01 +0100,Person 423,2006/10/06 17:56:18 +0100
1899,Bug,Closed,Fixed,Build tools,Major,Person 385,2006/09/29 01:22:39 +0100,2006/09/30 07:40:17 +0100,Person 418,2006/09/30 07:40:17 +0100
1900,Bug,Closed,Fixed,Demos/Scripts,Major,Person 415,2006/09/29 03:21:15 +0100,2006/09/29 22:45:23 +0100,Person 385,2006/09/29 22:49:04 +0100
1909,Bug,Closed,Fixed,SQL,Major,Person 410,2006/09/30 21:54:16 +0100,2006/12/26 19:50:38 +0100,Person 410,2007/02/05 05:59:40 +0100
1921,Improvement,Closed,Fixed,Documentation,Major,Person 418,2006/10/03 21:34:42 +0100,null,Unassigned,2006/12/06 15:24:19 +0100
1922,Bug,Closed,Fixed,Documentation,Trivial,Person 415,2006/10/03 23:47:34 +0100,2007/03/01 19:04:47 +0100,Person 439,2007/04/27 19:09:33 +0100
1925,Improvement,Closed,Fixed,Test,Major,Person 387,2006/10/04 00:33:45 +0100,2006/10/04 00:33:45 +0100,Person 387,2006/10/20 23:28:40 +0100
1953,Improvement,Closed,Fixed,Documentation; SQL,Minor,Person 423,2006/10/10 18:22:34 +0100,2006/10/10 18:22:34 +0100,Person 423,2006/11/12 17:10:01 +0100
1956,Improvement,Closed,Fixed,Network Client,Minor,Person 394,2006/10/12 08:28:59 +0100,2006/10/12 08:28:59 +0100,Person 394,2006/10/13 06:56:23 +0100
1958,Improvement,Closed,Fixed,Store,Trivial,Person 395,2006/10/12 18:37:18 +0100,2010/08/15 18:01:54 +0100,Person 443,2010/08/26 15:01:33 +0100
1963,Bug,Closed,Fixed,Tools,Minor,Person 379,2006/10/16 17:44:56 +0100,2010/10/12 22:42:48 +0100,Person 394,2010/10/15 09:03:56 +0100
1974,Bug,Closed,Fixed,Test,Major,Person 379,2006/10/17 21:51:28 +0100,2006/11/01 19:17:13 +0100,Person 379,2006/11/01 19:33:45 +0100
1987,Improvement,Closed,Fixed,Test,Minor,Person 379,2006/10/20 23:49:19 +0100,null,Unassigned,2010/04/28 18:45:35 +0100
1988,Improvement,Closed,Fixed,Test,Minor,Person 394,2006/10/21 13:21:13 +0100,2006/10/21 13:21:13 +0100,Person 394,2006/10/23 18:50:42 +0100
1989,Improvement,Closed,Fixed,Test,Minor,Person 394,2006/10/21 14:51:36 +0100,2006/10/21 14:51:36 +0100,Person 394,2006/10/27 07:35:46 +0100
1991,Bug,Closed,Fixed,JDBC,Minor,Person 394,2006/10/24 08:20:37 +0100,2006/10/24 08:20:37 +0100,Person 394,2006/10/31 09:45:39 +0100
2003,Improvement,Closed,Fixed,Test,Minor,Person 394,2006/10/26 07:52:59 +0100,2007/04/15 18:39:05 +0100,Person 379,2007/04/15 18:39:05 +0100
2008,Bug,Closed,Fixed,SQL,Minor,Person 472,2006/10/26 23:30:28 +0100,2006/10/27 08:02:23 +0100,Person 423,2006/10/28 17:15:29 +0100
2016,Bug,Closed,Fixed,SQL,Major,Person 444,2006/10/29 15:57:09 +0100,2007/11/17 00:15:11 +0100,Person 405,2007/11/22 01:53:01 +0100
2018,Bug,Closed,Fixed,SQL,Minor,Person 444,2006/10/30 13:42:35 +0100,2006/11/04 09:50:06 +0100,Person 423,2006/11/11 01:52:56 +0100
2022,Bug,Closed,Fixed,Test,Minor,Person 379,2006/10/31 17:19:34 +0100,2007/02/02 01:22:56 +0100,Person 379,2007/02/02 01:22:56 +0100
2026,Bug,Closed,Fixed,JDBC; Network Client,Minor,Person 408,2006/11/01 12:05:04 +0100,2010/08/06 21:26:55 +0100,Person 380,2010/08/24 00:19:56 +0100
2030,Bug,Closed,Fixed,Tools,Minor,Person 385,2006/11/02 06:52:51 +0100,2006/11/02 06:52:51 +0100,Person 385,2006/11/14 03:36:30 +0100
2037,Improvement,Closed,Fixed,Localization,Minor,Person 383,2006/11/03 00:55:55 +0100,2006/11/03 00:55:55 +0100,Person 383,2006/12/05 00:26:56 +0100
2040,Bug,Closed,Fixed,Services,Major,Person 379,2006/11/03 19:51:28 +0100,2006/11/03 19:51:28 +0100,Person 379,2007/07/26 14:01:08 +0100
2046,Improvement,Closed,Fixed,Services,Minor,Person 394,2006/11/04 15:15:55 +0100,2006/11/04 15:15:55 +0100,Person 394,2006/11/06 20:58:45 +0100
2047,Bug,Closed,Fixed,Test,Major,Person 394,2006/11/04 18:59:36 +0100,2006/11/06 19:10:45 +0100,Person 379,2006/11/10 16:29:15 +0100
2048,Bug,Closed,Fixed,Test,Major,Person 423,2006/11/06 23:12:19 +0100,2006/11/08 20:13:11 +0100,Person 423,2006/11/10 20:12:55 +0100
2052,Bug,Closed,Fixed,Test,Major,Person 379,2006/11/08 01:47:30 +0100,2006/11/08 01:47:36 +0100,Person 379,2006/11/09 00:56:26 +0100
2054,Improvement,Closed,Fixed,Test,Minor,Person 422,2006/11/08 16:20:17 +0100,2006/11/08 16:20:17 +0100,Person 422,2006/11/14 15:38:48 +0100
2074,Bug,Closed,Fixed,Store,Minor,Person 445,2006/11/13 11:55:03 +0100,2009/06/17 23:09:12 +0100,Person 394,2009/06/28 15:44:51 +0100
2079,Bug,Closed,Fixed,Test,Major,Person 381,2006/11/14 01:49:41 +0100,2006/11/19 15:45:04 +0100,Person 383,2006/11/19 15:48:58 +0100
2103,Bug,Closed,Fixed,SQL,Minor,Person 387,2006/11/21 01:02:02 +0100,2007/01/15 13:16:00 +0100,Person 420,2007/01/24 09:13:25 +0100
2108,Improvement,Closed,Fixed,Network Client; Network Server,Major,Person 425,2006/11/22 14:44:29 +0100,2006/11/22 14:44:29 +0100,Person 425,2007/02/14 12:16:33 +0100
2114,Improvement,Closed,Fixed,,Trivial,Person 384,2006/11/23 14:31:27 +0100,2006/11/23 14:31:27 +0100,Person 384,2007/05/01 22:03:30 +0100
2116,Bug,Closed,Fixed,Test,Trivial,Person 394,2006/11/24 15:28:44 +0100,2006/11/24 15:28:44 +0100,Person 394,2006/11/24 15:34:02 +0100
2117,Bug,Closed,Fixed,Test,Major,Person 394,2006/11/25 19:19:22 +0100,2007/04/17 21:41:46 +0100,Person 395,2007/04/17 22:14:10 +0100
2118,Improvement,Closed,Fixed,,Trivial,Person 384,2006/11/27 11:01:08 +0100,2007/06/01 11:55:50 +0100,Person 384,2007/06/01 11:55:50 +0100
2134,Improvement,Closed,Fixed,Test,Major,Person 429,2006/12/01 00:50:32 +0100,2006/12/01 00:50:32 +0100,Person 429,2007/02/08 21:39:40 +0100
2149,Improvement,Closed,Fixed,Store,Minor,Person 394,2006/12/05 16:04:43 +0100,2006/12/15 14:53:00 +0100,Person 394,2007/01/02 11:18:36 +0100
2150,Improvement,Closed,Fixed,SQL,Minor,Person 394,2006/12/05 16:09:13 +0100,2007/01/10 15:41:30 +0100,Person 394,2007/01/18 08:52:05 +0100
2153,Bug,Closed,Fixed,Test,Major,Person 383,2006/12/05 22:14:57 +0100,2006/12/05 22:39:37 +0100,Person 472,2006/12/11 17:35:33 +0100
2156,Bug,Closed,Fixed,SQL; Store,Trivial,Person 383,2006/12/06 18:02:07 +0100,2010/04/30 11:18:39 +0100,Person 394,2010/04/30 17:18:12 +0100
2183,Bug,Closed,Fixed,SQL,Major,Person 423,2006/12/15 20:01:24 +0100,2006/12/15 22:00:00 +0100,Person 423,2007/01/04 21:56:59 +0100
2195,Bug,Closed,Fixed,SQL,Major,Person 423,2006/12/18 20:36:20 +0100,2006/12/27 04:06:17 +0100,Person 423,2007/01/05 06:38:25 +0100
2200,Improvement,Closed,Fixed,Test,Minor,Person 381,2006/12/28 01:33:12 +0100,2006/12/28 02:11:02 +0100,Person 381,2007/05/24 20:52:45 +0100
2202,Bug,Closed,Fixed,SQL,Minor,Person 446,2006/12/28 14:51:30 +0100,2006/12/31 14:26:24 +0100,Person 423,2007/01/01 22:13:29 +0100
2211,Improvement,Closed,Fixed,Test,Major,Person 385,2007/01/04 08:46:46 +0100,2009/11/18 16:45:28 +0100,Person 379,2009/11/18 16:45:28 +0100
2220,Bug,Closed,Fixed,JDBC,Major,Person 447,2007/01/08 14:16:40 +0100,2007/01/08 14:27:25 +0100,Person 447,2007/03/23 08:37:54 +0100
2222,Bug,Closed,Fixed,Network Client; Tools,Major,Person 422,2007/01/09 10:33:17 +0100,2007/04/23 08:24:04 +0100,Person 442,2007/05/08 08:21:18 +0100
2223,Improvement,Closed,Fixed,Miscellaneous,Trivial,Person 384,2007/01/09 11:13:26 +0100,2007/01/09 13:24:41 +0100,Person 384,2007/01/11 09:54:43 +0100
2224,Improvement,Closed,Fixed,Test,Minor,Person 383,2007/01/09 18:28:13 +0100,2007/01/09 23:50:19 +0100,Person 383,2007/01/19 02:36:51 +0100
2241,Bug,Closed,Fixed,Test,Minor,Person 428,2007/01/15 10:35:09 +0100,2007/01/15 10:35:09 +0100,Person 428,2007/01/17 22:25:05 +0100
2254,Bug,Closed,Fixed,Store,Major,Person 408,2007/01/18 21:21:18 +0100,2012/03/21 00:59:43 +0100,Person 418,2012/03/21 01:03:36 +0100
2258,Bug,Closed,Fixed,JDBC; Network Client,Minor,Person 379,2007/01/19 19:25:54 +0100,2007/01/30 06:39:57 +0100,Person 432,2007/02/07 04:58:15 +0100
2262,Bug,Closed,Fixed,JDBC,Minor,Person 379,2007/01/22 18:16:08 +0100,2007/02/05 10:55:56 +0100,Person 432,2007/03/12 09:50:33 +0100
2265,Bug,Closed,Fixed,Test,Minor,Person 383,2007/01/23 20:10:17 +0100,2007/01/23 20:10:17 +0100,Person 383,2007/05/14 18:45:36 +0100
2268,Improvement,Closed,Fixed,Test,Minor,Person 394,2007/01/24 10:20:42 +0100,2007/01/24 10:20:42 +0100,Person 394,2007/01/26 08:51:45 +0100
2278,Improvement,Closed,Fixed,Test,Minor,Person 381,2007/01/30 20:27:56 +0100,2007/01/30 20:28:05 +0100,Person 381,2010/04/21 17:08:12 +0100
2294,Bug,Closed,Fixed,Test,Minor,Person 428,2007/02/06 09:27:18 +0100,2007/02/06 16:02:48 +0100,Person 410,2007/02/06 16:18:23 +0100
2315,Bug,Closed,Fixed,Test,Minor,Person 428,2007/02/09 14:43:33 +0100,2007/02/09 14:43:33 +0100,Person 428,2007/02/16 14:06:25 +0100
2316,Improvement,Closed,Fixed,Test,Minor,Person 428,2007/02/09 16:17:02 +0100,2007/02/09 16:17:02 +0100,Person 428,2007/11/29 17:58:16 +0100
2339,Bug,Closed,Fixed,Network Client,Major,Person 428,2007/02/15 07:56:08 +0100,2007/02/15 12:31:31 +0100,Person 425,2007/02/15 14:08:00 +0100
2349,Bug,Closed,Fixed,SQL,Major,Person 379,2007/02/16 22:36:11 +0100,null,Unassigned,2010/02/11 13:06:21 +0100
2350,Bug,Closed,Fixed,SQL,Major,Person 379,2007/02/16 23:53:11 +0100,2007/07/30 21:36:35 +0100,Person 395,2007/08/01 00:00:14 +0100
2351,Bug,Closed,Fixed,SQL,Major,Person 423,2007/02/17 01:36:19 +0100,2007/05/29 02:29:39 +0100,Person 410,2008/03/16 04:51:37 +0100
2354,Bug,Closed,Fixed,SQL,Major,Person 448,2007/02/19 14:20:21 +0100,2011/04/12 13:07:25 +0100,Person 394,2012/09/11 22:50:52 +0100
2359,Improvement,Closed,Fixed,Store,Minor,Person 422,2007/02/20 08:35:09 +0100,2007/02/20 08:35:09 +0100,Person 422,2008/01/07 11:36:09 +0100
2368,Bug,Closed,Fixed,Test,Trivial,Person 428,2007/02/22 08:14:14 +0100,2007/02/22 08:14:14 +0100,Person 428,2007/02/22 12:17:19 +0100
2370,Bug,Closed,Fixed,SQL,Major,Person 384,2007/02/23 10:14:08 +0100,2007/04/17 18:22:19 +0100,Person 472,2007/05/22 22:24:25 +0100
2371,Bug,Closed,Fixed,SQL,Major,Person 449,2007/02/23 17:13:47 +0100,2007/02/24 18:07:28 +0100,Person 410,2007/02/27 18:41:18 +0100
2381,Bug,Closed,Fixed,Network Client,Major,Person 393,2007/02/28 22:41:38 +0100,2007/04/26 17:01:58 +0100,Person 393,2007/05/03 21:39:59 +0100
2406,Bug,Closed,Fixed,Network Client,Minor,Person 447,2007/03/06 11:47:51 +0100,2007/03/06 11:47:51 +0100,Person 447,2007/03/08 14:20:23 +0100
2416,Improvement,Closed,Fixed,SQL,Major,Person 380,2007/03/07 20:37:07 +0100,2007/03/07 20:37:18 +0100,Person 380,2007/05/14 22:30:49 +0100
2447,Improvement,Closed,Fixed,SQL,Minor,Person 428,2007/03/13 10:26:02 +0100,2009/04/24 10:10:04 +0100,Person 394,2009/05/06 23:41:54 +0100
2450,Bug,Closed,Fixed,JDBC,Major,Person 433,2007/03/14 14:40:14 +0100,2007/03/22 10:11:29 +0100,Person 433,2007/03/26 09:21:54 +0100
2456,Bug,Closed,Fixed,Tools,Minor,Person 472,2007/03/15 19:57:46 +0100,2007/03/19 18:44:12 +0100,Person 387,2007/03/22 21:36:49 +0100
2462,Bug,Closed,Fixed,Store,Major,Person 450,2007/03/16 20:22:24 +0100,2007/03/17 00:15:46 +0100,Person 405,2007/05/16 14:11:29 +0100
2478,Bug,Closed,Fixed,Test,Minor,Person 428,2007/03/22 09:24:39 +0100,2007/04/16 08:30:44 +0100,Person 394,2007/04/16 09:23:48 +0100
