issue_id,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved
395,Improvement,Closed,Fixed,C-19,Major,Person 71,2008/03/24 10:22:12 +0100,2008/03/25 20:39:52 +0100,Person 71,2008/03/26 06:11:04 +0100
404,Bug,Closed,Fixed,,Trivial,Person 71,2008/03/28 06:51:11 +0100,2008/03/28 06:51:11 +0100,Person 71,2008/03/30 18:15:46 +0100
410,Bug,Closed,Fixed,C-1,Major,Person 81,2008/03/28 20:51:00 +0100,2008/04/01 05:17:20 +0100,Person 71,2008/04/05 12:23:27 +0100
424,Improvement,Closed,Fixed,documentation,Minor,Person 71,2008/04/02 05:25:33 +0100,2008/04/02 06:16:12 +0100,Person 71,2008/04/12 18:17:45 +0100
426,Improvement,Closed,Fixed,C-1,Major,Person 66,2008/04/02 12:11:25 +0100,2008/04/02 12:11:25 +0100,Person 66,2008/04/02 12:45:43 +0100
443,Improvement,Closed,Fixed,documentation,Minor,Person 71,2008/04/05 17:40:43 +0100,2008/04/06 11:05:58 +0100,Person 71,2008/04/12 17:24:42 +0100
448,Improvement,Closed,Fixed,C-21,Minor,Person 71,2008/04/07 19:52:18 +0100,2008/04/07 19:52:18 +0100,Person 71,2008/04/12 12:51:51 +0100
456,Bug,Closed,Fixed,,Critical,Person 60,2008/04/09 16:48:03 +0100,2008/04/12 19:23:14 +0100,Person 82,2008/04/12 23:12:46 +0100
457,Bug,Closed,Fixed,C-1,Minor,Person 83,2008/04/10 09:04:27 +0100,2008/04/11 05:11:11 +0100,Person 71,2008/04/12 09:20:33 +0100
498,Bug,Closed,Fixed,,Major,Person 62,2008/05/08 10:09:35 +0100,2008/05/08 10:09:35 +0100,Person 62,2008/05/08 19:22:49 +0100
499,Bug,Closed,Fixed,C-1,Major,Person 82,2008/05/08 18:24:17 +0100,2008/05/08 18:24:17 +0100,Person 82,2008/05/09 06:09:04 +0100
505,Improvement,Closed,Fixed,,Major,Person 62,2008/05/12 16:16:46 +0100,2009/01/20 19:36:04 +0100,Person 71,2009/02/12 15:35:58 +0100
509,Bug,Closed,Fixed,C-1,Major,Person 84,2008/05/12 21:58:18 +0100,2008/05/13 03:00:34 +0100,Person 60,2008/05/13 03:01:04 +0100
514,Improvement,Closed,Fixed,C-1,Minor,Person 71,2008/05/14 13:20:54 +0100,2008/05/14 13:20:54 +0100,Person 71,2008/05/25 14:40:29 +0100
517,Bug,Closed,Fixed,documentation,Minor,Person 71,2008/05/16 04:58:22 +0100,2008/05/16 04:58:22 +0100,Person 71,2008/05/26 20:24:48 +0100
